word,vector
"дачей
",[ 5.  1. 25.  6. 11.  0.]
"мягка
",[14. 33.  4. 12.  1.  0.]
"июлем
",[10. 32. 13.  6. 14.  0.]
"взыск
",[ 3.  9. 29. 19. 12.  0.]
"добью
",[ 5. 16.  2. 28. 32.  0.]
"жатва
",[ 8.  1. 20.  3.  1.  0.]
"ржали
",[18.  8.  1. 13. 10.  0.]
"бойце
",[ 2. 16. 11. 24.  6.  0.]
"отшат
",[16. 20. 26.  1. 20.  0.]
"мчать
",[14. 25.  1. 20. 28.  0.]
"мусью
",[14. 21. 19. 28. 32.  0.]
"рычим
",[18. 29. 25. 10. 14.  0.]
"лопни
",[13. 16. 17. 15. 10.  0.]
"рыбах
",[18. 29.  2.  1. 23.  0.]
"читка
",[25. 10. 20. 12.  1.  0.]
"гмина
",[ 4. 14. 10. 15.  1.  0.]
"блямб
",[ 2. 13. 33. 14.  2.  0.]
"окраи
",[16. 12. 18.  1. 10.  0.]
"носко
",[15. 16. 19. 12. 16.  0.]
"мешка
",[14.  6. 26. 12.  1.  0.]
"вешая
",[ 3.  6. 26.  1. 33.  0.]
"леона
",[13.  6. 16. 15.  1.  0.]
"лядам
",[13. 33.  5.  1. 14.  0.]
"отняв
",[16. 20. 15. 33.  3.  0.]
"питии
",[17. 10. 20. 10. 10.  0.]
"клюке
",[12. 13. 32. 12.  6.  0.]
"отлич
",[16. 20. 13. 10. 25.  0.]
"взыщи
",[ 3.  9. 29. 27. 10.  0.]
"рвань
",[18.  3.  1. 15. 28.  0.]
"чалою
",[25.  1. 13. 16. 32.  0.]
"пашет
",[17.  1. 26.  6. 20.  0.]
"буйна
",[ 2. 21. 11. 15.  1.  0.]
"томно
",[20. 16. 14. 15. 16.  0.]
"стикс
",[19. 20. 10. 12. 19.  0.]
"множе
",[14. 15. 16.  8.  6.  0.]
"койне
",[12. 16. 11. 15.  6.  0.]
"адлец
",[ 1.  5. 13.  6. 24.  0.]
"висле
",[ 3. 10. 19. 13.  6.  0.]
"откуд
",[16. 20. 12. 21.  5.  0.]
"кипой
",[12. 10. 17. 16. 11.  0.]
"надел
",[15.  1.  5.  6. 13.  0.]
"кощей
",[12. 16. 27.  6. 11.  0.]
"тёрки
",[20.  7. 18. 12. 10.  0.]
"нарве
",[15.  1. 18.  3.  6.  0.]
"отвёз
",[16. 20.  3.  7.  9.  0.]
"суджи
",[19. 21.  5.  8. 10.  0.]
"шрамы
",[26. 18.  1. 14. 29.  0.]
"извёл
",[10.  9.  3.  7. 13.  0.]
"бучил
",[ 2. 21. 25. 10. 13.  0.]
"бедуя
",[ 2.  6.  5. 21. 33.  0.]
"синят
",[19. 10. 15. 33. 20.  0.]
"бутан
",[ 2. 21. 20.  1. 15.  0.]
"хлору
",[23. 13. 16. 18. 21.  0.]
"лонге
",[13. 16. 15.  4.  6.  0.]
"всход
",[ 3. 19. 23. 16.  5.  0.]
"гдыня
",[ 4.  5. 29. 15. 33.  0.]
"милых
",[14. 10. 13. 29. 23.  0.]
"спраш
",[19. 17. 18.  1. 26.  0.]
"шунта
",[26. 21. 15. 20.  1.  0.]
"труте
",[20. 18. 21. 20.  6.  0.]
"кутье
",[12. 21. 20. 28.  6.  0.]
"травк
",[20. 18.  1.  3. 12.  0.]
"жнеях
",[ 8. 15.  6. 33. 23.  0.]
"водою
",[ 3. 16.  5. 16. 32.  0.]
"учтём
",[21. 25. 20.  7. 14.  0.]
"щебню
",[27.  6.  2. 15. 32.  0.]
"сбеги
",[19.  2.  6.  4. 10.  0.]
"кроил
",[12. 18. 16. 10. 13.  0.]
"чалку
",[25.  1. 13. 12. 21.  0.]
"обхаю
",[16.  2. 23.  1. 32.  0.]
"нелин
",[15.  6. 13. 10. 15.  0.]
"литах
",[13. 10. 20.  1. 23.  0.]
"пряжи
",[17. 18. 33.  8. 10.  0.]
"буксы
",[ 2. 21. 12. 19. 29.  0.]
"парта
",[17.  1. 18. 20.  1.  0.]
"гречи
",[ 4. 18.  6. 25. 10.  0.]
"сеяло
",[19.  6. 33. 13. 16.  0.]
"горбе
",[ 4. 16. 18.  2.  6.  0.]
"ласте
",[13.  1. 19. 20.  6.  0.]
